Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents,Publication Year
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2005
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2005
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2005
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2005
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2005
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2005
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2005
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2005
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2005
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2005
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2005
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2005
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2005
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2005
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2005
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2005
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2005
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2005
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2005
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2005
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2005
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2005
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2005
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2005
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2005
12,"service, year, health, child, care, study, programme, control, early, life",,,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2005
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2005
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2005
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2005
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2004
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2004
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2004
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2004
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2004
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2004
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2004
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2004
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2004
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2004
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2004
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2004
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2004
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2004
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2004
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2004
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2004
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2004
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2004
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2004
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2004
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2004
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2004
12,"service, year, health, child, care, study, programme, control, early, life",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2004
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2004
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2004
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2004
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
12,"service, year, health, child, care, study, programme, control, early, life",,,2004
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2004
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2004
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2004
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2004
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2004
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2004
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2004
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2004
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2004
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2004
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
12,"service, year, health, child, care, study, programme, control, early, life",,,2004
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2004
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2004
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2004
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2004
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2004
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2004
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2004
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2004
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2003
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2003
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2003
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2003
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2003
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2003
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2003
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2003
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2003
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2003
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2003
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2003
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2003
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2003
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2003
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2003
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2003
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2003
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2003
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2003
12,"service, year, health, child, care, study, programme, control, early, life",,,2003
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2003
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2003
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2003
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2003
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2003
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2003
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2003
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2003
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2003
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2003
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2003
12,"service, year, health, child, care, study, programme, control, early, life",,,2003
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2003
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2003
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2003
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2003
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2003
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2003
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2003
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2003
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2003
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2003
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2003
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2003
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2003
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2003
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2003
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2003
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2003
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2003
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2003
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2003
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2003
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2003
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2003
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2003
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2003
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2003
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2003
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2003
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2003
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2003
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2003
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2003
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2003
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2003
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2003
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2003
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2003
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2003
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2003
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2003
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2002
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2002
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2002
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2002
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2002
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2002
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2002
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2002
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2002
12,"service, year, health, child, care, study, programme, control, early, life",,,2002
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2002
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2002
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2002
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2002
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2002
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2002
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2002
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2002
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2002
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2002
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2002
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2002
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2002
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2002
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2002
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2002
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2002
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2002
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2002
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2002
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2002
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2002
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2002
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2002
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2002
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2002
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2002
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2002
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2002
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2002
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2002
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2002
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2002
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2002
6,"information, time, method, problem, make, approach, provide, process, standard, option",,,2001
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2001
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2001
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2001
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2001
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2001
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2001
12,"service, year, health, child, care, study, programme, control, early, life",,,2001
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2001
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2001
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2001
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2001
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2001
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2001
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2001
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2001
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2001
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2001
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2001
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2001
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2001
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2001
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2001
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2001
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2001
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2001
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2001
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2001
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2001
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2001
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2001
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2001
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2001
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2001
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2001
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2001
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2001
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2001
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2001
12,"service, year, health, child, care, study, programme, control, early, life",,,2001
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2001
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2001
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2001
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2001
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2001
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2001
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2001
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2001
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2001
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2001
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2001
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",,,2001
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2001
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2001
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2001
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2001
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2001
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2001
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2001
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2010
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2010
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2010
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2010
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2010
18,"article, issue, argue, work, theory, social, human, people, debate, view",,,2010
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2010
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2010
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2010
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2010
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2010
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2010
12,"service, year, health, child, care, study, programme, control, early, life",,,2010
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2010
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2010
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2010
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2010
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2010
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2010
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2010
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2010
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2010
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2010
